author,n,match,gender,titles,ntit,birth,death,prefix1,prefix2
"Танин, Яков",33,ТанинЯ,m,"Как учился бурундук; Радуга на веревке; Ходики; По воду; Утюг; Помощница; Пила и руки; Анютины глазки; Анютина обувка; Кукушкина арифметика; Котенок-воркутенок; О разбитом стекле и управдоме; Талантливый Вова; Девочка и хнык; Куда закатилось солнце; Смена спортсменам; Елкина весна; В страну дочек и пап; Коте-нок-воркутенок",19,,,ТанинЯ,NA
"Танина, М. [Пчелякова Александра]",7,ТанинаМ,f,"Жолка и Зелька; Курица Марфуша; Волчица; Нэма; Машкин сон; Лисий хвост; Приключения кота Левина",7,,,ТанинаМ,NA
"Танк, М.",24,ТанкМ,m,"Веточка и воробей; Ехал сказочник Гай; Журавль и цапля; Стихи; Ехал сказочник Гай. Пер. А. Кленова; Быль о лютом Суховее. Пер. А. Кленова; Письмо пионеров Пер. А. Кленова; Дуб. Пер. А Кленова; Как весна пришла... Пер А. Кленова; Иринка. Пер. А Кленова; Мухомор. Пер. Б. Иринина; Дед и щука. Пер. Б. Иринина; Сказка про медведя. Пер. Н. Вольпин; Веточка и воробей. Пер. В. Потаповой; Журавль и цапля. Пер. Н. Вольпин — Жук и улитка. Пер. А.  Кленова; Среди лесов надне-манских. Пер. А Кленова; Конь и лев. Пер. А. Кленова; Сказка про музыку. Пер. А Кленова; Иринка; Как весна пришла. Пер. А. Кленова; Журавль и цапля. Пер. Н. Воль-пин; Среди лесов наднеман-ских. Пер. А. Кленова",22,,,ТанкМ,NA
"Танк, Максим",91,ТанкМ,m,"Избранные стихотворения; Среди лесов наднеманских; Конь и Лев; Светлячок; Евг. Мозоль-ков. Поэзия борьбы. К ШТУРМУ. «Эх вы, песни, мои песни...» Перевел В. Любин; «Серые латы, замшелые балки...» Перевел О. Колычев; «Наша песня знакома с нуждой и оковами...» Перевел П. Железнов; «Ой, не гните, ветры, вербы над рекою...» Перевел Б. Иринин; Над люлькой. Перевел Б. Иринин; «В девках ткала я полотна..» Перевел В. Цвелев; «Мешали мне, чтоб я не мог...» Перевел П. Карабан; Мы еще вернемся. Перевел И. Сельвин-ский; «Мы не умрем, хотя могилы...» Перевел В. Рождественский; Не забывай. Перевел И. Поступальский; Венок. Перевел А. Гатов; «Послушайте, весна идет...» Перевел Б. Иринин; Песня куликов. Перевел Б. Иринин; Свиданье. Перевел Б. Иринин; «Не надо плакать. Рано...» Перевел Н. Титов; «Гудки и колес перезвон...» Перевел П. Семынин; Ответ. Перевел С. Спасский; К штурму. Перевел Л. Длигач. ТОВАРИЩИ, ЗДРАВСТВУЙТЕ. Товарищи, здравствуйте. Перевел В. Рождественский; Вождю. Перевел Н. Титов; Сегодня. Перевел Н. Титов; «Я сотню раз прошел по ней...» Перевел П. Железнов; На площади Ленина в Минске. Перевел Б. Иринин; Ткачам. Перевел П. Железнов; У могилы Максима Богдановича. Перевела В. Потапова; «Осень тлеет. От лесов, болот...» Перевел Н. Сидоренко. ДОРОГАМИ ВОЙНЫ. «Не жалейте, хлопцы, пороха...» Перевел О. Колычев; Сильницкий. Перевел Н. Браун; Мы вновь на месте том. Перевел Евг. Мозоль-ков; Баллада про партизана Ду-бягу. Перевел А. Прокофьев; Голубь; ^Перевел А. Кленов; Письмо Сталину. Перевел М. Рудер-ман; «Мы в свой город пришли...» Перевел А. Чивилихин; На братской земле. Перевел П. Карабан; «Мать послала к сыну думы...» Пе- •ревел М. Исаковский. ОТЧИЗНА ПОМНИТ. «В неугасимом созвездье...» (Из поэмы «За мир».) Перевел ЯХелемский; Утро в Минске. Перевел А. Кудрейко; «Кличут меня с незабытых дорог...» Перевела О. Берггольц; Элеватор. Перевел Г. Семенов; Новоселье. Перевел С. Спасский; «Вот дорога дальняя...» Перевел Н. Сидоренко; Детский дом. Перевел Н. Сидоренко; Граница. Перевел А. Кудрейко; Якубу Ко-ласу. Перевел Б. Иринин; Так. Перевел А. Кленов; Пни у дороги. Перевел Н. Сидоренко; «Клубится пыль в i полях над гор. кой...» Перевел А. Кленов; В городском саду. Перевела М. Комиссарова; Чтобы ведали. Перевел Евг. Мозольков; Весна красна. Перевел А. Кленов; Разлив. Перевел А. Прокофьев; Жаворонок. Перевел А. Кленов; «Доброе утро — лугом широким...» Перевел А. Кудрейко; У аэродрома. Перевел П. Железнов; Письмо звеньевой Марили Одынец. Перевел А. Кленов; Над Припятью. Перевел Евг. Мозольков. •— • Правдивое слово. Перевел Н. Сидоренко; «Братья. Все, кому дороги • мир и покой...» (Из поэмы «За . мир».) Перевел Я. Хелемский. ВЕТОЧКА и ВОРОБЕЙ. Веточка и во' робей. Перевела В. Потапова; Журавль и цапля. Перевел Н. Воль-пин; Иван да Марья. Перевела М. Комиссарова; Дед и щука. Перевел Б. Иринин; Мухомор. Перевел Б. Иринин; Лирник. Пер. В. Рождественского; Сказка про Музыку. Конь и Лев. Жук и Улитка. Как весна пришла... Иринка. Дуб. Быль о лютом Суховее. Письмо пионеров. Ехал сказочник Бай. Пер. А. Кленова; У ночлежный костров. Зимняя сказка. Цветные карандаши. Заячий дом. Кукуруза, Часовых дел мастера. Пер. В. Та' раса; Иван-да-Марья. Пер. М. Комиссаровой; Музыкант Кулик, Пер. Т. Семынина; Сказ про Валя. А сколько у вас? Светлячок, Колыбельная. Весенний дождь. Сказки. Пер. И. Бурсова; Сказка про Медведя. Журавль и Цапля. Пер. Н. Вольпина; Мухомор,-Дед и щука. Пер. Б. Иринина. Веточка и воробей. Пер. В. Потаповой; Баллада про партизана-Дубягу. Среди лесов наднеманских. Пер. А. Прокофьева; Иринка; Как весна пришла...; Жук и Улитка; Ехал сказочник Бай; Среди лесов надне-манеких; А сколько у вас?; Заячий дом; Журавль и Цапля; Веточка и воробей",81,,,ТанкМ,NA
"Танюк, Лесь",1,ТанюкЛ,m,"Пушкинские сказки",1,,,ТанюкЛ,NA
"Тапагуа, Д. К.",21,ТапагуаДК,-,"Люблю я утро; Моим маленьким друзьям; Родной Абхазии; Дождь; Четвертое марта; Джигитовка; Как я играл в футбол; Трубка; Зимой; Пришла весна; Сестрички; Утренняя зарядка; Утенок; Мац и часы; По секрету; Воробей; Петух; Индюк; Жаворонок; Камин перец; Подарок",21,,,ТапагуаД,ТапагуаДК
"Тапдыг, И.",1,ТапдыгИ,m,"Возьми меня за руку!",1,,,ТапдыгИ,NA
"Тапдыг, Ильяс",29,ТапдыгИ,m,"Чимназ танцует; Верблюжонок; «Бабушкин внучек...» — «Раз—пригорок...» — Кто я на самом деле?—Чимназ танцует; Знаете, а я из нефти! — Баку; Маленькая Кямала; Стрижка; Тахсин; Зря обиделась, Севиль; Домашняя работа — Виноград; Хлопок; Доярка; Кузнец; Подземное дерево; Какое это дерево?—Гроза; Оленье озеро; Молния; Под горячим песком; Черные шаны, белые шаны; Охотник и лиса; Дед Мороз; Первая книжка; «Раз — пригорок...»; Баран и мальчик; Пугливая лягушка; Виноград; «Бабушкин внучек...»; Карр-карр!; Кто я на самом деле?; «Через брод...»; Груша",30,,,ТапдыгИ,NA
"Тапдыгов, Ильяс",1,ТапдыговИ,m,"Наш чабан",1,,,ТапдыговИ,NA
"Тарабанов, В.",1,ТарабановВ,m,"Поход василе-островцев",1,,,ТарабановВ,NA
"Тарабрин, Игорь",2,ТарабринИ,m,"Спортивная смена",1,,,ТарабринИ,NA
"Тарабукин, В. А.",1,ТарабукинВА,m,Чубарый,1,,,ТарабукинВ,ТарабукинВА
"Тарабукин, Игорь",31,ТарабукинИ,m,"Где живет романтика; Эники-беники ели вареники; Бумажное королевство; Где живет романтика? Случай на вокзале; Из дневника одного отряда; Глобус; Услужливая стрелка; «Летящий»; Дождик; Эврика! Мушкетеры; Вот вам и романтика; Как искали аппетит? Бумажный человечек; С чем «едят романтику»?; Новая считалочка; Кто кого поймал? Козел и афиша; Что это? Заблудившиеся рифмы; О Саше и Каше; Лесное происшествие; Небылица; А это каламбуры; Ишытреверен; «Эники-беники ели вареники...» Новая считалочка; Умный пес; О Саше и каше; На рисунках в беспорядке — все отгадки на загадки; Значит, надо самому догадаться — что к чему? Я, Алешка и кино; Небылицы; Тут как тут ишытревереп",28,,,ТарабукинИ,NA
"Тараданкин, Александр",1,ТараданкинА,m,"Морями теплыми",1,,,ТараданкинА,NA
"Тараданкин, К.",1,ТараданкинК,m,Взлет,1,,,ТараданкинК,NA
"Таран, А. Д.",1,ТаранАД,-,"День в море",1,,,ТаранА,ТаранАД
"Таран, А. Ф.",1,ТаранАФ,-,"День в море",1,,,ТаранА,ТаранАФ
"Тарарин, Н.",1,ТараринН,m,"Пионерский лагерь и деревня",1,,,ТараринН,NA
"Тарас, В. Е.",8,ТарасВЕ,m,"Под созвездием Льва; Прощальные костры; Размышление; Повести: Одна лошадиная сила; Рассказы о партизанском детстве: Цвет революции; Единственный выстрел; Трое суток ареста; Июльские дни",8,,,ТарасВ,ТарасВЕ
"Тарас, Валентин",6,ТарасВЕ,m,"Минска улицы родные; Первая молния; Первая молния: Повесть; РАССКАЗЫ: Ответь за галстук!; Невероятная смерть; Корова тетки Винцесихи; Первомайское утро",7,,,ТарасВ,NA
"Тарас, Шевченко",3,ТарасШ,m,М.,1,,,ТарасШ,NA
"Тарасевич, С.",1,ТарасевичС,-,"Маленькая война",1,,,ТарасевичС,NA
"Тарасенко, П.",1,ТарасенкоП,-,"Заколдованные сокровища",1,,,ТарасенкоП,NA
"Тараскин, А. С.",1,ТараскинАС,m,Палочка-выручалочка,1,,,ТараскинА,ТараскинАС
"Тараскин, А. Ф.",2,ТараскинАФ,m,"Веселые дожди; Капельки",2,,,ТараскинА,ТараскинАФ
"Тарасов, А.",3,ТарасовАВ,m,"Играйте в хоккей; Детям о хоккее",3,,,ТарасовА,NA
"Тарасов, А. А.",1,ТарасовАА,m,"Где ночуют миражи",NA,,,NA,NA
"Тарасов, А. М.",1,ТарасовАМ,m,"Горизонты призвания",1,,,ТарасовА,ТарасовАМ
"Тарасов, А. Н.",14,ТарасовАН,m,"У «Лукоморья»; Вместо предисловия; Далекое прошлое устьев Дона и Темерника; Генуэзский купец Карло Ламберти; Тимур на Дону; «Дикое поле» и казаки; Герои; Бомбардир Питер; Темерницкий и приазовские порты в XVIII веке; Темерницкая портовая таможня; Крестьянин Еремей Пирожников и его преемники; Ростовская крепость; Ростов Донской",13,,,ТарасовА,ТарасовАН
"Тарасов, Б.",29,ТарасовБВ,m,"25 самоделок; Сделай на своем дворе; Самоделки школьника; От автора; Электрический фонарик; ■ Электрифицированный чернильный прибор; Настольный аттракцион «Филин»; Викторина «Знаешь ли ты?» — Викторина по истории техники; Электрифицированная стенная газета; Большой калейдоскоп с подсветкой; Электрический звонок и электросирена; Электрический маятник; Самый простой электродвигатель; Электродвигатель с трехполюсным якорем; Мощный электродвигатель с пятиполюсным якорем; Электровоз на столе; Автоматический переключатель лампочек; Модель плавающих лыж; Модель небольшой динамо-машины; Элек-тровыжигатель; Электропаяльник; Лампа с вращающимся абажуром; Настольная и настенная электролампа; Электрофи-цированная новогодняя елочка; Макет гидроэлектростанции со световыми эффектами; Микропроектор; Модели ветродвигателей с самодельным электрическим вентилятором; Электрическая машина; Несколько практических советов; Что читать юному технику",30,,,ТарасовБ,NA
"Тарасов, Б. В.",3,ТарасовБВ,m,"Самоделки юного техника; Техническая игрушка-самоделка; Самоделки школьника",3,,,ТарасовБ,ТарасовБВ
"Тарасов, В. В.",1,ТарасовВВ,m,"Экскурсия в природу",1,,,ТарасовВ,ТарасовВВ
"Тарасов, Г.",1,ТарасовГ,m,"Театр петрушки",1,,,ТарасовГ,NA
"Тарасов, К. Е.",1,ТарасовКЕ,m,"Всестороннее развитие человека — высшая цель коммунизма",1,,,ТарасовК,ТарасовКЕ
"Тарасов, Л. В.",2,ТарасовЛВ,m,"Мир, построенный на вероятности; Этот удивительно симметричный мир",2,,,ТарасовЛ,ТарасовЛВ
"Тарасов, Л. М.",1,ТарасовЛМ,m,"Волшебство оперы",1,,,ТарасовЛ,ТарасовЛМ
"Тарасов, М.",2,ТарасовМИ,m,"Морские узлы",1,,,ТарасовМ,NA
"Таратута, Е. А.",1,ТаратутаЕА,f,"По следам «Овода»",1,1912,,ТаратутаЕ,ТаратутаЕА
"Тараховская, Е.",177,ТараховскаяЕЯ,f,"Дружба; Калитка в сад; Метро; Стихи; Сказка про живую воду; Стихи и сказки; Посмотрим выставку; Живой снежок; По щучьему велению. Пьеса по материалам рус. сказок в 2-х д; Утро; Мишка; На берегу; Ольга Николаевна; Кукла; Девочки; Праздник в колхозе; Тихий час; Вкусный гербарий; Я кисточкой раскрасила; Выставка; Скворушка; Козочка-первоклассница; Огородники; Роди-.на; Осень; I. СЧАСТЛИВЫЙ ПУТЬ. Родина; Два слова; Домик в Гори; Весна; Молодой лес; На Красную площадь. II. ЛЕТО В детском саду; У моря; Сенокос; Скворушки; Жук-плавунец; На пасеке; Под музыку; Солнечные часы; Как темно и тихо стало; У костра; Я знаю почему; Козочка-первоклассница. III. ЗИМНИЕ ДНИ. Скоро в класс! — Шелковый попугай; На уроке географии; Зима под Москвой; Подарок; Загадки; Дед Мороз; Елка; На катке. IV. МЕТРО. Буква «М»; Лестни-ца-чудесница; Подземная станция; Кто строил? — Поезд; Фокусница-дверь; В вагоне; Поехали! — Под Москвой-рекой; Эстакада; Станция «Завод имени Сталина»; Лестница-чудес-ница; Предисл. Ю. Яковлева. СОЛНЕЧНЫЕ ЧАСЫ. Солнечные часы; Рано-рано; Сквозь цветное стеклышко; Мальчик в тарелке; Караван; Звезда в траве; Шелковый попугай; 2. У моря; 3. Праздник в колхозе; 4. Ольга Николавна; 5. Мишка; 6 Девочки; 7. Кукла; 8. Я знаю, почему; 9. Жук-плавунец; 10 Вкусный гербарий; 11. На пасеке; 12. Я кисточкой раскрасила; 13. Выставка; 14. Скворушки; 15. Огородники; 16. Сколько дел у нас с утра!; 17. Козочка-первоклассница; На катке; Следопыт; Загадка; Моя снегурочка; Медведь; Заяц; Лиса; Кто это? — Товарищи; Скоро в класс!; Приключения задачника; Раздевайтесь, яблоньки!; Песенка 7 Детская литература без конца; Молодой охотник; Встреча в лесу; Сестра; Вишневая трубка; Папа и дочка; Галя и узбечка Шарафат; Памяти бойца; Конь. (Поэма.); Салют; Говорит Москва; Отвоеванный город; Старшему брату; Крымский кипарис; Новая школа; Шкатулка; Метро. (Поэма.); Крылатые друзья; Волк и ребята; Нанули; Четыре времени года; Деревня; По щучьему веленью; Буква «М»; Лест-ница-чудесница; Поезд вынырнул; Кольцевой путь; Лестница-чудесница; См; № 1518; Конь «Квадрат»; Живой клубок; Свинья «Волшебница»; Корова «Крошка»; Чемпион— курица; На все руки мастера; Машина-молодчина; Волчок-богатырь; Он без рук, он без глаз; Электрическая курица; Умница-разумница; Удивительный сад; Роза; Чудо-яблоня; Карликовый сад; Огурец-великан; Игрушечное поле; Не простое— золотое; Знатные люди; Дед-Мороз; Ж ивой снежок; Елена Николаевская. Предисл; МЕТРО",145,,,ТараховскаяЕ,NA
"Тараховская, Е. Я.",32,ТараховскаяЕЯ,f,"Алешка-горбун; Бей в барабан; Где овечка без хвсста; 12 без пяти; Железная дорога; Колокол в море; Костя, кттоп и микроскоп; Митька и наука; Новый дом; Общежитие коров; Огород; О том, как приехал шоколад в Мос-сельпром; Радиобригада; Стальные ребята; Тит полетит; Универмаг; У Черного моря; Электрическая курица; Амарэ — детский сад; Воздушный парад; Лентяй; Метрополитен; Метро; Необыкновенные гости",24,,,ТараховскаяЕ,ТараховскаяЕЯ
"Тараховская, Елизавета",182,ТараховскаяЕЯ,f,"Солнечные часы; Луна и лентяй; Посмотрим выставку; Стихи и сказки; Чайка; Живой снежок; Метро; Сказка про живую воду; Сколько дел у нас с утра; Говорит Москва; Новая школа; Старшему брату; Сквозь цветное стеклышко; Шелковый попугай; Под музыку; Ласточка; Мальчик в тарелке; Загадка; Дед Мороз; Елка; Подарок; Молчаливый дед; Как темно и тихо стало; Привет; Мой океан; Песня без конца; См; № 1629; Посмотрим выставку! — Конь «квадрат»; Корова «Крошка»; Свинья «Волшебница»; Живой клубок; Чемпионка-курица; До чего дошла наука! — Машина-молодчина; Электрическая курица; Умница-разумница; Волчок-богатырь; Он без рук, он без глаз; Удивительный сад; Роза; Чудо-яблоня; Стелющийся сад; Огурец-великан; Игрушечное поле; Не простое — золотое; У фонтана «Дружба народов»; Знатные люди; Ю. Яковлев. Предисл; Конь. Поэма; Приключения задачника; Салют; Крымский кипарис; Памяти бойца. Анкета. Памятник Ленину. Вишневая трубка. Отвоеванный город. Молодой лес. Новая школа. На уроке географии. У костра. Встреча в лесу. СОЛНЕЧНЫЕ ЧАСЫ. Сколько дел у нас с утра! Звезда в траве. Кукла. Девочки. Жук-плавунец. Сквозь цветное стеклышко. Сенокос. Шелковый попугай. Мишка; У моря. Мальчик в тарелке. Я кисточкой раскрасила; Вкусный гербарий. Рано-рано; > На пасеке; Скворушки. Козочка-первоклассница. Праздник в колхозе; Утро. Солнечные часы. Под музыку. Караван. Я знаю почему. Песенка без конца. ИЗ КНИГИ «ПОСМОТРИМ ВЫСТАВКУ». Посмотрим выставку. Умница-разумница; Свинья Волшебница; Живой клубок. Чемпионка-курица; Корова Крошка. Не простое — золотое. Электрическая курица. ЖИВОЙ _ СНЕЖОК. Зима под Москвой. Живой снежок. Подарок. Следопыт. Елка. Загадка. Моя Снегурочка. Дед Мороз. Медведь. Лиса. Заяц; По щучьему велению. Пьеса; Доклад о чистоте; Мир-вари Дильбази. Волк и ребята; Эдуард Межелайтис. Зайчик-мальчик; Марика Бараташвили. Нанули; Юлиан Ту-вим. Четыре времени года. Деревня; Асен Босев. Зимняя спячка. Осень; Жук-плавунец; Я кисточкой раскрасила..; Под ' музыку; Звезда в траве; Всегда впереди. Ю. Яковлев; ЛУНА И ЛЕНТЯИ; МЕТРО; СКАЗКА ПРО ЖИВУЮ ВОДУ; Родина; Памяти бойца. Анкета. Памятник Ленину. Что это? Вишневая трубка. Папа и дочка. Гвардии рядовой Матросов. Товарищи. Забытые слова. Сестра. Галя и узбечка; Конь. (Поэма). Салют; Говорит Москва. Шкатулка; Отвоеванный город. Красноармейцу. Крымский кипарис; Старшему брату. Молодой лес. Новая школа. Скоро в класс! На уроке географии; Встреча в лесу. У костра. Молодой охотник; Раздевайтесь, яблоньки! Весна. Сколько дел у нас с утра! Звезда в траве. Девочки. Кукла. Жук-плавунец; Утро. У моря; Вкусный гербарий; На пасеке; Скворушки; Привет. Под музыку. Рано-рано; Ласточка. Мой океан; Где овечка без хвоста; Я знаю почему. Я кисточкой раскрасила. .; Козочка-первоклассница. Праздник в колхозе; Песенка без конца. Мичуринский сад; Роза. Корова Крошка. Посмотрим выставку. Живой клубок; Чемпионка-курица. Электрическая курица; Зима под Москвой. Живой снежок. Подарок; Следопыт. Плясовая; Загадка. Моя снегурочка. Дед-Мороз; Медведь. Лиса. Зачц; ПО ЩУЧЬЕМУ ВЕЛЕНЬЮ. Пьеса; ПЕРЕВОДЫ. Куддус Мухаммади. Маленький Ахмад смотрит картинки. Крылатые друзья; Мирвари Дильбази. Волк и ребята; Юлиан Тувим. Четыре времени года. Деревня; Эдуард Ме-желайтис. Зайчик. Мальчик; Валино детство; Валя и звезды; Валя-барабанщица; Валя-ткачиха; Валя-парашютистка; Валя учится; Валя мечтает о космосе; Валя на старте; Валя в космосе; Валин бортжурнал; Валя говорит с Валерием; Космический день; Валю зовут на Землю; Валя снова на Земле; Валю угощают; На Красной площади; Валя снова в Ярославле",122,,,ТараховскаяЕ,NA
"Тарбаев, Б. И.",8,ТарбаевБИ,m,"Старый Кру видит далеко; Когчемаха: Повесть; Старый Кру видит далеко: Рассказы: Красная земля; Мартын; Таль-мень; Три истории; Сухие ноги крохалей; На острове",8,,,ТарбаевБ,ТарбаевБИ
"Тарбаев, Борис",21,ТарбаевБИ,m,"Старый Кру видит далеко; Добрый океан; Мой друг Бурка; Как нбнцы по морю плавают; Веселый белый олень; Награда грозного царя; Смешные птицы; С тарый Кру видит далеко; Первый медведь; Слово; «Старшина» и еж; Тигр Львович и др; От автора; Глаз сокола; Как ненцы по морю плавают; Маленький лис; Дикие гуси; Рыжий вертолет; Тальмень",19,,,ТарбаевБ,NA
"Таргюль, Л.",1,ТаргюльЛ,-,"Пионерское обещание",1,,,ТаргюльЛ,NA
"Тарджеманов, Д. А.",3,ТарджемановДА,m,"Лобачевский; Приключения серебряного хвостика; Шуктуган",3,,,ТарджемановД,ТарджемановДА
"Тарджеманов, Дж.",35,ТарджемановДА,m,"Карусель; Находка; Дождик идет, — Камешки; Наша фабрика; У колодца; Верхом на палочке; Вишня,— Мой Акбай; Не скажем, не покажем! — Карусель; Мороз; Папина шапка; Утро; С добрым утром; Кот умывается; Камешки; Маленький шофер; Куклы жалуются; Трамвай; Мой Акбай; Дождик идет; Пчела; Не скажем, не покажем! — Наша фабрика; Вишня; Веселая игра; Карусель с самолетами; Маляр; День рождения дедушки; Клубок; Золотые листья; Удивительная лошадка; Зайчик; Зима; Под Новый год; Дружная семья",32,,,ТарджемановД,NA
"Тарджеманов, Джавад",37,ТарджемановДА,m,"Веселая игра; Я пионер; Тук-тук; Юность Лобачевского; Юность Лобачевского. (Рождение героя); Щуктуган; Веселый сабантуй; Трамвай; Верхом на палочке; Камешки; Радистка; Жалобы кукол; Тетрадь для рисования; Карусель с самолетами; Корова-игрушка; Находка; Наша фабрика; Листья; Куда девались звери? — Во время дождя; Садись на мои санки; Под новый год; Наша улица.; Наша школа; Глобус; Мой брат— ремесленник; Ледоход; Депутат Каримов; Красный галстук; Бумажный змей; У колодца; Мороз; Буква «Т»; Алфавит дружбы; Два друга; Значки, значки. .; Мистер Джон и мальчик Джонни; Неразлучный друг; В Казань, учиться! Гимназия. Первый порыв. Золотой треугольник. Радость, тревога и горе. Химик или математик. Шаг за шагом. «Пятно на солнце». Одна секунда плюс вся жизнь..; Вып. дан. авт.: Джавад Тарджеманов. (Тарзиманов Джавад Артахо-вич)",39,,,ТарджемановД,NA
"Тарджеманов, Джаудат",74,ТарджемановДА,m,"Светлый день; С добрым утром; Так сказала мама; Красная звезда; С добрым утром! — Зайка; Буренка; Кавалерист; Камешек; Кот-мурлыка; В гостях у дедушки; Счет; Цыплята; О мальчике Ахмете и рыжей корове; Дочка-куколка; Отгадай-ка! — Клубок; Вишня; Играй в трамвай; У колодца; За работой; Тетрадь для рисования; Вот он, зайчик; Ключ и лестница; Карусель; Очки; Игра в лошадки; Зима; Мороз; Мой старший брат,—Почему Акбай хромой? — Кто съел волка? — Пчела и осел; Моряк; Наш сосед; Сапожник; День выборов; Наша школа; Есть подруга у меня; Солнце; Пора вставать; Один; Два; Три; Четыре; Пять; Дружная семья; Зайка; Марш; Глупый котенок; Дяденька маляр; Водитель; Верхом на палочке; Пчелы; Малиновка; Куклы; Находка; Дождь идет; Буду суворовцем; В саду; Пчела и осел; Баюшки-баю; Необыкновенный случай; Хочу вырасти; Листья; Папина шапка; Под Новый год; Елка; Ледоход; Голубь; Глобус; Почему? — Дедушка-доктор; Кто это? — Наша школа; Депутат Каримов; В день рожденья; Подруга. t",71,,,ТарджемановД,NA
"Тардов, М. С.",3,ТардовМС,m,"Алешка Богунец; Пионерка Хасана",2,,,ТардовМ,ТардовМС
"Тарик, В.",2,ТарикВ,-,"Комсомол и пионерия Урала на фронте второй большевистской весны; На штурм полей шагай смелей",2,,,ТарикВ,NA
"Таркинтон, Б.",1,ТаркинтонБ,-,"Приключения Пенрода",1,,,ТаркинтонБ,NA
"Тарковский, Арсений",2,ТарковскийА,m,"Повесть о прекрасной Гулаим, батыре Арыслане и сестре его Алтынай, о бае Аллаяре и пастухе Журыне, о шахе Надире и хане Суртайше",1,,,ТарковскийА,NA
"Тарле, Е.",2,ТарлеЕ,m,"Наполеон; Нашествие Наполеона на Россию. 1812 год",2,1875,1955,ТарлеЕ,NA
"Тарловский, М.",19,ТарловскийМH,m,"Причина поражения; Вперед, мушкетеры; Гипноз; Кабала; Возмездие; Письмо; Баланс; Ночью; Пискля; Золотая лодка; П овесть; РАССКАЗЫ; Двойка; Вперед, мушкетеры! Гипноз; Дул муссон; На последнем уроке; Кричите громче!",17,,,ТарловскийМ,NA
"Тарловский, Марк",10,ТарловскийМН,m,"Вперед, мушкетеры!.; Золотая лодка; Причина поражения; Письмо; Двойка; Вперед, мушкетеры!; Гипноз; Дул муссон; На последнем уроке; Кабала; Кричите громче!",11,,,ТарловскийМ,NA
"Тарнопольская, О. И.",1,ТарнопольскаяОИ,f,Загадки,1,,,ТарнооольскаяО,ТарнооольскаяОИ
"Тарнопольская, Ольга",34,ТарнопольскаяОИ,f,"Веселый город; Тик-так; Угадай-ка; Как ворон зверей напугал (сказка); Шалун - невидимка; Подружки; Тетя-забавница; Пузырек; Чудесная стайка; Красна девица; Дом-невеличка; Конь-дружок; Самый длинноногий; Удивительный домик; Пароход; Еремушка; Высотный домик; Чистеха; Eivfy можно! Еремушка; Сони-тихони; Ш алун-невидимка; Упрямец; Что за штука? Веселый И ваш ­ ка; Неразлучные; Любопытные; Волшебный лес; Хозяюшка; Звездочка-чудесница; Он его знает? Забавница; Дворник-проворник; Домик-бегунок; Нам всем она — всегда нужна",32,,,ТарнопольскаяО,NA
"Тарский, Ю.",1,ТарскийЮ,m,"Подводная лодка уходит в поиск",1,,,ТарскийЮ,NA
"Тартаковский, Б.",4,ТартаковскийБ,m,"Радости и горести Симы Каштановой; Лагерь в городе; Петр Ясько и его отряд; Моя обезьяна Зося",4,,,ТартаковскийБ,NA
"Тартаковский, Борис",6,ТартаковскийБ,m,"Мальчишка ищет друга; Петр Ясько и его отряд; Папирус из города мертвых; Строгая птица; В трех шагах от Стрелецкой бухты; В трех шагах от Стрелецкой бухты: Записки морского офицера; Квадрат смерти: Севастопольская быль",7,,,ТартаковскийБ,NA
"Тартаковский, М.",1,ТартаковскийМ,m,"Твой старший друг",1,,,ТартаковскийМ,NA
"Тарутин, О. А.",3,ТарутинОА,m,"Для чего нам светофор; 32 богатыря; Про человечка Пятью-Шесть",2,,,ТарутинО,ТарутинОА
"Тарутин, Олег",22,ТарутинОА,m,"Верные лапы; Что лежало в рюкзаке; Это было в Антарктиде; Пудель; Бульдог; . Шпиц; Эрдельтерьер; Спаниель; Водолаз; Щенок овчарки; Колли; Лайка; «Ночью дождик тихо капал...»; Компас; Сапоги; Котелок; Полог; Охотничий нож; Медная руда и молоток; Старая фотография; Бивень мамонта; Спальный мешок; «Узнал я про север...»",23,,,ТарутинО,NA
